	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
1.904000E0	3.808000E3	2.355840E1	-1.028098E1	2.570402E1	3.364234E2	1.275782E3	1.129342E2	7.509626E1
1.908000E0	3.816000E3	2.426809E1	-8.084421E0	2.557926E1	3.415756E2	1.307380E3	1.136439E2	7.289971E1
1.912000E0	3.824000E3	2.472910E1	-5.762649E0	2.539166E1	3.468824E2	1.331412E3	1.141049E2	7.057794E1
1.916000E0	3.832000E3	2.509078E1	-3.425031E0	2.532347E1	3.522269E2	1.355130E3	1.144666E2	6.824032E1
1.920000E0	3.840000E3	2.535591E1	-1.008008E0	2.537594E1	3.577234E2	1.346781E3	1.147317E2	6.582329E1
1.924000E0	3.848000E3	2.521112E1	1.321745E0	2.524575E1	3.630011E2	1.350267E3	1.145869E2	6.349354E1
1.928000E0	3.856000E3	2.504217E1	3.754008E0	2.532199E1	3.685256E2	1.405646E3	1.144180E2	6.106128E1
1.932000E0	3.864000E3	2.456076E1	6.235936E0	2.534004E1	3.742463E2	1.399422E3	1.139366E2	5.857935E1
1.936000E0	3.872000E3	2.388943E1	8.563510E0	2.537791E1	3.797210E2	1.353593E3	1.132652E2	5.625178E1
1.940000E0	3.880000E3	2.316383E1	1.083841E1	2.557410E1	3.850750E2	1.336598E3	1.125396E2	5.397687E1
1.944000E0	3.888000E3	2.217340E1	1.301620E1	2.571150E1	3.904137E2	1.329590E3	1.115492E2	5.179908E1
1.948000E0	3.896000E3	2.093067E1	1.504671E1	2.577783E1	3.957117E2	1.337310E3	1.103065E2	4.976858E1
1.952000E0	3.904000E3	1.949525E1	1.701411E1	2.587556E1	4.011122E2	1.360970E3	1.088710E2	4.780118E1
1.956000E0	3.912000E3	1.779598E1	1.881839E1	2.590036E1	4.065995E2	1.390925E3	1.071718E2	4.599690E1
1.960000E0	3.920000E3	1.590677E1	2.053619E1	2.597615E1	4.122396E2	1.381470E3	1.052826E2	4.427910E1
1.964000E0	3.928000E3	1.402996E1	2.215145E1	2.622072E1	4.176513E2	1.342435E3	1.034058E2	4.266384E1
1.968000E0	3.936000E3	1.197059E1	2.347243E1	2.634862E1	4.229791E2	1.357884E3	1.013464E2	4.134286E1
1.972000E0	3.944000E3	9.719134E0	2.469157E1	2.653554E1	4.285143E2	1.403170E3	9.909493E1	4.012372E1
1.976000E0	3.952000E3	7.276727E0	2.572304E1	2.673248E1	4.342045E2	1.380760E3	9.665252E1	3.909225E1
1.980000E0	3.960000E3	4.881478E0	2.649396E1	2.693991E1	4.395604E2	1.408808E3	9.425727E1	3.832133E1
1.984000E0	3.968000E3	2.144222E0	2.709326E1	2.717798E1	4.454749E2	1.409133E3	9.152002E1	3.772203E1
1.988000E0	3.976000E3	-3.972161E-1	2.730413E1	2.730702E1	4.508335E2	1.366536E3	8.897858E1	3.751115E1
1.992000E0	3.984000E3	-3.088562E0	2.750393E1	2.767680E1	4.564072E2	1.344068E3	8.628723E1	3.731136E1
1.996000E0	3.992000E3	-5.599749E0	2.731370E1	2.788181E1	4.615860E2	1.346744E3	8.377605E1	3.750159E1
2.000000E0	4.000000E3	-8.305743E0	2.686279E1	2.811752E1	4.671812E2	1.372483E3	8.107005E1	3.795249E1
2.004000E0	4.008000E3	-1.087798E1	2.617659E1	2.834686E1	4.725659E2	1.362307E3	7.849782E1	3.863869E1
2.008000E0	4.016000E3	-1.346488E1	2.523910E1	2.860621E1	4.780796E2	1.379297E3	7.591091E1	3.957619E1
2.012000E0	4.024000E3	-1.601130E1	2.409871E1	2.893285E1	4.836003E2	1.375396E3	7.336450E1	4.071658E1
2.016000E0	4.032000E3	-1.825585E1	2.247761E1	2.895719E1	4.890828E2	1.377075E3	7.111995E1	4.233767E1
2.020000E0	4.040000E3	-2.051390E1	2.079011E1	2.920700E1	4.946169E2	1.392406E3	6.886190E1	4.402518E1
2.024000E0	4.048000E3	-2.255810E1	1.878001E1	2.935228E1	5.002220E2	1.397961E3	6.681770E1	4.603528E1
2.028000E0	4.056000E3	-2.442518E1	1.659899E1	2.953161E1	5.058005E2	1.390343E3	6.495062E1	4.821629E1
