	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
4.124000E0	8.248000E3	2.094375E1	-1.769628E1	2.741895E1	6.798041E2	1.700961E3	1.154151E2	8.312303E1
4.128000E0	8.256000E3	2.258639E1	-1.480009E1	2.700348E1	6.867645E2	1.761206E3	1.170577E2	8.022684E1
4.132000E0	8.264000E3	2.387550E1	-1.169972E1	2.658802E1	6.938937E2	1.800524E3	1.183468E2	7.712648E1
4.136000E0	8.272000E3	2.479815E1	-8.457080E0	2.620058E1	7.011687E2	1.810860E3	1.192695E2	7.388383E1
4.140000E0	8.280000E3	2.545878E1	-5.234915E0	2.599142E1	7.083806E2	1.821915E3	1.199301E2	7.066167E1
4.144000E0	8.288000E3	2.561085E1	-1.905884E0	2.568166E1	7.157441E2	1.868361E3	1.200822E2	6.733264E1
4.148000E0	8.296000E3	2.549355E1	1.482225E0	2.553660E1	7.233275E2	1.933656E3	1.199649E2	6.394453E1
4.152000E0	8.304000E3	2.492593E1	4.941486E0	2.541103E1	7.312133E2	1.972043E3	1.193973E2	6.048527E1
4.156000E0	8.312000E3	2.393824E1	8.291157E0	2.533343E1	7.391038E2	1.959568E3	1.184096E2	5.713559E1
4.160000E0	8.320000E3	2.252564E1	1.142290E1	2.525643E1	7.468899E2	1.940048E3	1.169970E2	5.400386E1
4.164000E0	8.328000E3	2.084528E1	1.439321E1	2.533161E1	7.546242E2	1.944477E3	1.153166E2	5.103354E1
4.168000E0	8.336000E3	1.877163E1	1.716832E1	2.543866E1	7.624457E2	1.938921E3	1.132430E2	4.825843E1
4.172000E0	8.344000E3	1.641822E1	1.966077E1	2.561453E1	7.701356E2	1.902352E3	1.108896E2	4.576598E1
4.176000E0	8.352000E3	1.381532E1	2.182371E1	2.582901E1	7.776645E2	1.899320E3	1.082867E2	4.360304E1
4.180000E0	8.360000E3	1.092446E1	2.378446E1	2.617335E1	7.853302E2	1.904819E3	1.053958E2	4.164230E1
4.184000E0	8.368000E3	7.746767E0	2.518602E1	2.635048E1	7.929030E2	1.877125E3	1.022181E2	4.024073E1
4.188000E0	8.376000E3	4.481584E0	2.634890E1	2.672731E1	8.003472E2	1.846247E3	9.895292E1	3.907786E1
4.192000E0	8.384000E3	1.099291E0	2.705222E1	2.707455E1	8.076730E2	1.800469E3	9.557063E1	3.837453E1
4.196000E0	8.392000E3	-2.269803E0	2.731098E1	2.740514E1	8.147509E2	1.771861E3	9.220153E1	3.811577E1
4.200000E0	8.400000E3	-5.703619E0	2.718809E1	2.777992E1	8.218479E2	1.781411E3	8.876772E1	3.823866E1
4.204000E0	8.408000E3	-9.137638E0	2.653433E1	2.806362E1	8.290022E2	1.796906E3	8.533370E1	3.889243E1
4.208000E0	8.416000E3	-1.254008E1	2.545883E1	2.837967E1	8.362232E2	1.750487E3	8.193126E1	3.996793E1
4.212000E0	8.424000E3	-1.561999E1	2.404708E1	2.867484E1	8.430061E2	1.722119E3	7.885134E1	4.137967E1
4.216000E0	8.432000E3	-1.858527E1	2.214897E1	2.891348E1	8.500001E2	1.736737E3	7.588607E1	4.327778E1
4.220000E0	8.440000E3	-2.126623E1	1.990059E1	2.912535E1	8.569000E2	1.724062E3	7.320511E1	4.552616E1
4.224000E0	8.448000E3	-2.373703E1	1.737758E1	2.941814E1	8.637926E2	1.756518E3	7.073431E1	4.804917E1
4.228000E0	8.456000E3	-2.583897E1	1.435101E1	2.955679E1	8.709521E2	1.769126E3	6.863237E1	5.107574E1
4.232000E0	8.464000E3	-2.749387E1	1.113861E1	2.966448E1	8.779456E2	1.757404E3	6.697747E1	5.428814E1
4.236000E0	8.472000E3	-2.872534E1	7.690826E0	2.973708E1	8.850114E2	1.775273E3	6.574600E1	5.773593E1
4.240000E0	8.480000E3	-2.957647E1	4.078924E0	2.985641E1	8.921478E2	1.785973E3	6.489487E1	6.134783E1
4.244000E0	8.488000E3	-2.993283E1	3.661622E-1	2.993507E1	8.992991E2	1.787593E3	6.453850E1	6.506059E1
4.248000E0	8.496000E3	-2.970488E1	-3.357427E0	2.989402E1	9.064486E2	1.779399E3	6.476646E1	6.878418E1
4.252000E0	8.504000E3	-2.920372E1	-7.029707E0	3.003787E1	9.135343E2	1.765292E3	6.526762E1	7.245646E1
4.256000E0	8.512000E3	-2.815735E1	-1.056733E1	3.007499E1	9.205709E2	1.774667E3	6.631399E1	7.599408E1
4.260000E0	8.520000E3	-2.673935E1	-1.405734E1	3.020929E1	9.277317E2	1.816634E3	6.773199E1	7.948409E1
4.264000E0	8.528000E3	-2.461356E1	-1.730124E1	3.008588E1	9.351040E2	1.830489E3	6.985778E1	8.272799E1
4.268000E0	8.536000E3	-2.231608E1	-2.035995E1	3.020819E1	9.423756E2	1.807266E3	7.215526E1	8.578670E1
4.272000E0	8.544000E3	-1.952821E1	-2.291484E1	3.010716E1	9.495621E2	1.788203E3	7.494312E1	8.834159E1
4.276000E0	8.552000E3	-1.649127E1	-2.508763E1	3.002251E1	9.566812E2	1.789538E3	7.798007E1	9.051438E1
4.280000E0	8.560000E3	-1.314886E1	-2.681457E1	2.986493E1	9.638784E2	1.806477E3	8.132247E1	9.224132E1
4.284000E0	8.568000E3	-9.606053E0	-2.810986E1	2.970590E1	9.711330E2	1.837933E3	8.486528E1	9.353661E1
