	mass_A
t	frame	x	y	r	ω	pixelx	pixely
6.638200E1	1.327640E5	2.360955E1	1.431345E1	2.760952E1	1.395063E3	1.095204E2	5.070566E1
6.638400E1	1.327680E5	2.294336E1	1.563098E1	2.776195E1	1.379091E3	1.088542E2	4.938812E1
6.638600E1	1.327720E5	2.244227E1	1.675416E1	2.800638E1	1.278127E3	1.083531E2	4.826495E1
6.638800E1	1.327760E5	2.169908E1	1.781022E1	2.807230E1	1.321881E3	1.076099E2	4.720888E1
6.639000E1	1.327800E5	2.085467E1	1.879775E1	2.807619E1	1.327775E3	1.067655E2	4.622136E1
6.639200E1	1.327840E5	1.993623E1	1.972142E1	2.804260E1	1.216045E3	1.058471E2	4.529769E1
6.639400E1	1.327880E5	1.932752E1	2.065001E1	2.828384E1	1.172416E3	1.052384E2	4.436910E1
6.639600E1	1.327920E5	1.850428E1	2.157355E1	2.842229E1	1.275523E3	1.044151E2	4.344556E1
6.639800E1	1.327960E5	1.754508E1	2.245409E1	2.849589E1	1.301926E3	1.034559E2	4.256502E1
6.640000E1	1.328000E5	1.658392E1	2.332464E1	2.861931E1	1.308135E3	1.024947E2	4.169447E1
6.640200E1	1.328040E5	1.554974E1	2.415561E1	2.872782E1	1.198094E3	1.014606E2	4.086350E1
6.640400E1	1.328080E5	1.457891E1	2.463136E1	2.862251E1	1.170151E3	1.004897E2	4.038775E1
6.640600E1	1.328120E5	1.350239E1	2.529827E1	2.867607E1	1.172739E3	9.941321E1	3.972084E1
6.640800E1	1.328160E5	1.249625E1	2.570114E1	2.857805E1	1.165816E3	9.840708E1	3.931796E1
6.641000E1	1.328200E5	1.139017E1	2.628739E1	2.864896E1	1.154939E3	9.730100E1	3.873172E1
6.641200E1	1.328240E5	1.039635E1	2.665165E1	2.860760E1	1.124468E3	9.630718E1	3.836746E1
6.641400E1	1.328280E5	9.326838E0	2.719663E1	2.875147E1	1.117490E3	9.523767E1	3.782247E1
6.641600E1	1.328320E5	8.327311E0	2.751205E1	2.874469E1	1.166722E3	9.423814E1	3.750706E1
6.641800E1	1.328360E5	7.134318E0	2.806671E1	2.895925E1	1.187967E3	9.304515E1	3.695240E1
6.642000E1	1.328400E5	6.060799E0	2.829983E1	2.894156E1	1.044175E3	9.197163E1	3.671927E1
6.642200E1	1.328440E5	5.053952E0	2.841482E1	2.886077E1	1.089649E3	9.096478E1	3.660429E1
6.642400E1	1.328480E5	3.898626E0	2.872355E1	2.898692E1	1.310989E3	8.980945E1	3.629556E1
6.642600E1	1.328520E5	2.449095E0	2.891498E1	2.901851E1	1.314256E3	8.835992E1	3.610413E1
6.642800E1	1.328560E5	1.252267E0	2.900158E1	2.902860E1	1.154990E3	8.716310E1	3.601753E1
6.643000E1	1.328600E5	1.121446E-1	2.901752E1	2.901774E1	1.084539E3	8.602297E1	3.600159E1
6.643200E1	1.328640E5	-9.455509E-1	2.902762E1	2.904302E1	1.062032E3	8.496528E1	3.599149E1
6.643400E1	1.328680E5	-2.038921E0	2.896398E1	2.903566E1	1.077842E3	8.387191E1	3.605512E1
6.643600E1	1.328720E5	-3.111453E0	2.874857E1	2.891646E1	1.218797E3	8.279937E1	3.627054E1
6.643800E1	1.328760E5	-4.494169E0	2.869298E1	2.904281E1	1.256361E3	8.141666E1	3.632613E1
6.644000E1	1.328800E5	-5.663322E0	2.859529E1	2.915071E1	1.102524E3	8.024751E1	3.642382E1
6.644200E1	1.328840E5	-6.739699E0	2.848433E1	2.927082E1	1.104238E3	7.917113E1	3.653478E1
6.644400E1	1.328880E5	-7.905269E0	2.827640E1	2.936066E1	1.114076E3	7.800556E1	3.674270E1
6.644600E1	1.328920E5	-8.895842E0	2.776009E1	2.915062E1	1.078578E3	7.701499E1	3.725902E1
6.644800E1	1.328960E5	-9.932806E0	2.738861E1	2.913412E1	1.099568E3	7.597802E1	3.763049E1
6.645000E1	1.329000E5	-1.102777E1	2.706788E1	2.922810E1	1.102685E3	7.488306E1	3.795123E1
6.645200E1	1.329040E5	-1.199345E1	2.650761E1	2.909461E1	1.117247E3	7.391738E1	3.851150E1
6.645400E1	1.329080E5	-1.306190E1	2.604364E1	2.913562E1	1.131927E3	7.284893E1	3.897547E1
6.645600E1	1.329120E5	-1.399369E1	2.537859E1	2.898096E1	1.124616E3	7.191714E1	3.964052E1
6.645800E1	1.329160E5	-1.501906E1	2.486399E1	2.904807E1	1.158852E3	7.089177E1	4.015512E1
